x,y,index,country,region
0.0929,-0.00582,workplaces,United Kingdom,Total
2.36,0.01096,workplaces,United Kingdom,Total
4.716,0.00453,workplaces,United Kingdom,Total
6.9817,0.01551,workplaces,United Kingdom,Total
9.3377,0.00908,workplaces,United Kingdom,Total
11.695,0.00844,workplaces,United Kingdom,Total
13.9594,0.01363,workplaces,United Kingdom,Total
16.3139,0.0014,workplaces,United Kingdom,Total
18.5728,-0.0166,workplaces,United Kingdom,Total
19.4174,-0.03422,workplaces,United Kingdom,Total
20.8345,-0.02301,workplaces,United Kingdom,Total
22.7969,-0.0989,workplaces,United Kingdom,Total
24.3752,-0.20367,workplaces,United Kingdom,Total
26.2433,-0.27954,workplaces,United Kingdom,Total
27.7602,-0.24517,workplaces,United Kingdom,Total
28.3177,-0.2801,workplaces,United Kingdom,Total
29.4205,-0.40214,workplaces,United Kingdom,Total
30.4263,-0.53574,workplaces,United Kingdom,Total
31.8148,-0.64626,workplaces,United Kingdom,Total
34.075,-0.65846,workplaces,United Kingdom,Total
35.6999,-0.56615,workplaces,United Kingdom,Total
36.8983,-0.68241,workplaces,United Kingdom,Total
39.0616,-0.70618,workplaces,United Kingdom,Total
41.2371,-0.67779,workplaces,United Kingdom,Total
42.5846,-0.56221,workplaces,United Kingdom,Total
0.083,-0.0232,grocery,United Kingdom,Total
2.1756,0.03449,grocery,United Kingdom,Total
4.3212,0.00521,grocery,United Kingdom,Total
6.5771,0.01071,grocery,United Kingdom,Total
8.8384,0.02779,grocery,United Kingdom,Total
11.1799,0.01588,grocery,United Kingdom,Total
12.3147,0.03312,grocery,United Kingdom,Total
12.3337,0.0737,grocery,United Kingdom,Total
12.878,0.03305,grocery,United Kingdom,Total
13.248,0.0214,grocery,United Kingdom,Total
15.41,0.02691,grocery,United Kingdom,Total
17.6767,0.05559,grocery,United Kingdom,Total
19.7639,0.10168,grocery,United Kingdom,Total
21.8211,0.08401,grocery,United Kingdom,Total
23.0932,0.19399,grocery,United Kingdom,Total
25.3627,0.22846,grocery,United Kingdom,Total
26.6281,0.12395,grocery,United Kingdom,Total
27.7886,-0.00375,grocery,United Kingdom,Total
28.7615,-0.13141,grocery,United Kingdom,Total
