Date,Country,Region,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplaces,Residential
2020-04-11,United Arab Emirates,Total,-64,-32,-77,-79,-45,24
2020-04-11,United Arab Emirates,Abu Dhabi,-54,-21,-71,-76,-33,20
2020-04-11,United Arab Emirates,Ajman,-49,-27,-81,-48,-37,21
2020-04-11,United Arab Emirates,Dubai,-78,-44,-81,-81,-56,30
2020-04-11,United Arab Emirates,Ras al Khaimah,-45,-20,-47,-60,-26,16
2020-04-11,United Arab Emirates,Sharjah,-49,-26,-85,-73,-39,21
2020-04-11,Afghanistan,Total,-46,-32,-12,-50,-38,16
2020-04-11,Angola,Total,-53,-32,-37,-44,-31,22
2020-04-11,Argentina,Total,-84,-34,-80,-67,-52,27
2020-04-11,Argentina,Buenos Aires,-89,-28,-84,-74,-67,32
2020-04-11,Argentina,Buenos Aires Province,-85,-33,-83,-65,-56,27
2020-04-11,Argentina,Catamarca Province,-71,-15,-64,-63,-31,23
2020-04-11,Argentina,Chaco Province,-79,-28,-68,-81,-41,21
2020-04-11,Argentina,Chubut Province,-85,-37,-86,-83,-47,28
2020-04-11,Argentina,Cordoba,-83,-37,-80,-82,-50,28
2020-04-11,Argentina,Corrientes,-82,-44,-81,-84,-42,23
2020-04-11,Argentina,Entre Rios,-84,-33,-85,-75,-42,24
2020-04-11,Argentina,Formosa Province,-83,-32,-69,-56,-35,19
2020-04-11,Argentina,Jujuy,-80,-28,-71,-84,-39,24
2020-04-11,Argentina,La Pampa,-83,-32,-72,-70,-43,24
2020-04-11,Argentina,La Rioja Province,-74,-27,-76,-76,-41,23
2020-04-11,Argentina,Mendoza Province,-82,-30,-73,-58,-46,28
2020-04-11,Argentina,Misiones Province,-80,-38,-71,-86,-42,23
2020-04-11,Argentina,Neuquen,-84,-40,-84,-63,-52,31
2020-04-11,Argentina,Río Negro,-86,-46,-85,-93,-50,29
2020-04-11,Argentina,Salta Province,-81,-33,-73,-52,-43,24
2020-04-11,Argentina,San Juan Province,-77,-17,-69,-82,-40,25
2020-04-11,Argentina,San Luis Province,-86,-40,-80,-85,-48,25
2020-04-11,Argentina,Santa Cruz Province,-81,-37,-82,-87,-46,25
2020-04-11,Argentina,Santa Fe Province,-82,-29,-76,-46,-49,27
2020-04-11,Argentina,Santiago del Estero Province,-79,-30,-68,-84,-44,22
2020-04-11,Argentina,Tierra del Fuego Province,-88,-51,-87,-84,-59,29
2020-04-11,Argentina,Tucumán,-79,-25,-66,-64,-43,23
2020-04-11,Austria,Total,-81,-27,-20,-62,-45,15
2020-04-11,Austria,Burgenland,-80,-33,21,-27,-43,15
2020-04-11,Austria,Carinthia,-86,-49,-40,-53,-46,16
2020-04-11,Austria,Lower Austria,-76,-18,51,-62,-40,14
2020-04-11,Austria,Salzburg,-86,-33,-51,-79,-52,15
2020-04-11,Austria,Styria,-83,-42,-30,-61,-45,16
