country,first_case_date,first_death_date,policy1_text,policy1_date,policy2_text,policy2_date,policy3_text,policy3_date
United Kingdom,2020-02-06,2020-03-03,Social Distancing,2020-03-15,Lockdown,2020-03-23,,
Italy,2020-01-31,2020-02-21,School Closure,2020-03-04,Partial Lockdown,2020-03-09,Full Lockdown,2020-03-11
South Africa,2020-03-05,2020-03-27,Lockdown Announced,2020-03-23,Lockdown,2020-03-27,,
India,2020-03-05,2020-03-12,Social Distancing,2020-03-17,Lockdown,2020-03-22,,
France,2020-01-24,2020-02-14,Lockdown,2020-03-16,Attestation Travel,2020-03-23,,
Brazil,2020-02-25,2020-03-17,,,,,,
Singapore,2020-01-23,2020-03-21,Circuitbreaker Announced,2020-04-03,Circuitbreaker,2020-04-07,,
United States,2020-01-20,2020-03-01,,,,,,
Israel,2020-02-21,2020-04-06,Social Distancing,2020-03-15,,,,
Hong Kong,2020-01-23,2020-02-04,,,,,,
